date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_direction_10m_dominant,relative_humidity_2m_mean,surface_pressure_mean,cloud_cover_mean,visibility_mean
2024-01-01,26.4,14.5,6.7,12,350,82,853.6,99,
2024-01-02,26,14.4,4.6,10.1,351,82,853.5,99,
2024-01-03,23.1,15.3,0.3,8.3,312,83,853.3,100,
2024-01-04,25.5,15.6,0,5.2,275,76,853.9,99,
2024-01-05,26.2,16,0.2,6.8,119,70,854.4,96,
2024-01-06,27.4,15.2,0.8,6.4,18,69,853.5,76,
2024-01-07,27.5,14.9,0.8,7.1,311,74,853.2,89,
2024-01-08,27.6,15.9,0,9.6,51,70,852.4,90,
2024-01-09,25.5,16,17.4,10.1,214,82,852.8,88,
2024-01-10,25.5,15.4,3,8.7,307,81,853,99,
2024-01-11,25.4,17,1.7,9.1,297,79,852.7,98,
2024-01-12,24.8,17,9.8,8.1,266,85,853.3,97,
2024-01-13,24.3,16.1,4,6.4,263,86,853.2,92,
2024-01-14,25.5,16.6,7,13.9,352,84,853.3,96,
2024-01-15,27.2,15.4,0.4,9.9,328,79,853.9,80,
2024-01-16,26.5,15.1,0.3,8.2,9,75,853.9,89,
2024-01-17,26.5,15.8,2.4,7.7,270,81,854.4,86,
2024-01-18,26.5,14.6,5.8,8.8,32,83,854.3,85,
2024-01-19,26.5,13.9,4.8,11.5,313,82,853.2,59,
2024-01-20,27.2,16.8,10.9,11.5,308,81,853.2,76,
2024-01-21,26.9,15.9,4.2,7.4,306,78,853.9,84,
2024-01-22,27.4,15.6,0.2,10.1,12,69,854.3,89,
2024-01-23,26.9,14.9,0.9,10.2,44,73,855.3,70,
2024-01-24,24.8,17.4,11.4,12.5,305,85,855.3,94,
2024-01-25,27.6,14.2,15.1,10.6,13,79,855,55,
2024-01-26,25.8,15.4,5.9,12,37,81,854.8,64,
2024-01-27,27.1,14.1,0.5,12.1,42,77,853.8,65,
2024-01-28,28.1,14.4,0,14.1,30,69,853.1,88,
2024-01-29,27.2,14.4,5.5,10.8,36,77,853.9,99,
2024-01-30,24.5,17,5.4,7.3,284,83,854.5,92,
2024-01-31,26.9,14.9,5.3,11.5,15,82,854.1,89,
2024-02-01,27.5,15.6,0.9,10.7,53,80,855.1,94,
2024-02-02,26.5,13.8,0.4,8.9,53,74,853.9,74,
2024-02-03,26.2,14.7,0.6,16,30,78,853,46,
2024-02-04,26.9,14.4,0.6,16.8,43,76,853.4,79,
2024-02-05,27.1,13.9,0.3,10.3,356,78,854.5,68,
2024-02-06,27.7,14.8,0,10,18,71,854.9,40,
2024-02-07,27.8,13.7,0.5,11.5,44,72,854.4,12,
2024-02-08,26.9,14.6,0.6,10.2,60,75,854.1,33,
2024-02-09,28,14.7,0.4,8.4,17,70,853.2,35,
2024-02-10,25.9,16.5,3,18.1,25,78,854.6,68,
2024-02-11,26.6,13.9,0.4,9.2,57,79,854.7,45,
2024-02-12,27.5,14.4,0.2,6.3,73,69,854.3,50,
2024-02-13,28.5,17.5,0.6,6.9,6,67,853.8,72,
2024-02-14,28.8,16.4,9.3,11,325,73,853.4,76,
2024-02-15,26.5,16.9,11.7,13.2,346,85,854.3,93,
2024-02-16,26.7,16,0.2,8.6,84,78,854.1,85,
2024-02-17,27.8,15.4,0,10,26,72,853.5,95,
2024-02-18,28.6,14.6,0.4,12.3,358,74,853.4,80,
2024-02-19,28.4,15.1,0.7,9.4,337,78,853.4,80,
2024-02-20,28.2,14.5,0.5,7.5,40,76,852.6,72,
2024-02-21,28.4,15.9,1.4,15.1,27,75,851.3,66,
2024-02-22,27,14.6,0.9,11.8,26,74,850.1,77,
2024-02-23,28.2,14.9,0,11.8,28,66,850.8,98,
2024-02-24,28,14.8,0.9,11.6,357,70,852.6,92,
2024-02-25,28.8,15.6,5.5,12.1,4,70,853.2,96,
2024-02-26,26.5,15.6,1.1,8.3,316,77,853.1,100,
2024-02-27,25.4,15.4,1.2,9.8,341,80,853.3,100,
2024-02-28,28.1,15.4,0.2,9.6,23,74,852.9,86,
2024-02-29,28.1,14.7,23.2,16.7,347,80,852.5,77,
2024-03-01,26.2,16.1,14.7,13.3,12,83,852.8,90,
2024-03-02,28.1,13.8,0,9.6,61,72,853.1,73,
2024-03-03,28.4,15.1,0.2,8.4,333,72,853.4,90,
2024-03-04,29.5,16.3,3.1,7.1,1,70,852.9,73,
2024-03-05,26.9,16.3,2.8,7.7,341,78,853.5,99,
2024-03-06,25.9,14.9,0.1,10,165,78,854.1,63,
2024-03-07,27.6,14,0,10.6,58,73,853.6,40,
2024-03-08,28.1,14.9,0,9.4,13,71,853.6,75,
2024-03-09,25.6,16.1,0.2,9,111,79,853.7,96,
2024-03-10,28,13.9,0.3,12.8,31,77,853.5,85,
2024-03-11,28.9,14.5,0.1,11.8,22,74,854.7,27,
2024-03-12,28.6,14,0.2,9.7,35,70,855,17,
2024-03-13,28.5,14.2,0,9.5,86,68,854.2,67,
2024-03-14,28.3,14.4,0,10.4,33,66,853.2,79,
2024-03-15,28,14.9,0.4,8.4,115,71,853.7,51,
2024-03-16,28.9,15.6,0,10,184,67,853.7,79,
2024-03-17,29.1,13.6,0,14.9,145,63,852.5,44,
2024-03-18,29.1,15.6,0.3,8.5,158,64,851.7,51,
2024-03-19,29,16.4,0.4,8.1,138,67,851.5,37,
2024-03-20,28.5,16.4,1,11.3,145,71,851.7,57,
2024-03-21,29,15.2,0.8,7.9,32,73,851.4,75,
2024-03-22,29.4,15.1,1,10.7,35,71,850.3,89,
2024-03-23,28.6,15.5,1.2,9.2,280,77,850.6,67,
2024-03-24,26.4,15.9,2.5,10.9,206,80,852.7,95,
